       72
        2	        3	        3	        3	        2	        3	        4	        3	        4	        3	        3	        3	        3	        3	        3	        4	        3	        4	        3	        2	        3	        3	        3	        2	
iMin  iMax  jMin  jMax  kMin  kMax   id
       89       89        1       89        1        1        1
        1        1        1       89        1        1        2
        1       89       89       89        1        1        1
        1       89        1        1        1        1        6
        1        1        1       89        1        1        2
       89       89        1       89        1        1        1
       73       73        1       89        1        1        2
        1        1        1       89        1        1        3
        1       73       89       89        1        1        2
        1       73        1        1        1        1        7
        1        1        1       89        1        1        3
       73       73        1       89        1        1        2
      133      133        1       89        1        1        3
        1        1        1       89        1        1        4
        1      133       89       89        1        1        3
        1      133        1        1        1        1        8
        1        1        1       89        1        1        4
      133      133        1       89        1        1        3
       73       73        1       89        1        1        4
        1        1        1       89        1        1        5
        1       73       89       89        1        1        4
        1       73        1        1        1        1        9
        1        1        1       89        1        1        5
       73       73        1       89        1        1        4
        1      221       89       89        1        1        5
        1      221        1        1        1        1       10
       89       89        1       73        1        1        6
        1        1        1       73        1        1        7
        1       89        1        1        1        1        6
        1       89       89       89        1        1        1
        1       89       73       73        1        1        6
        1       89        1        1        1        1       11
        1        1        1       73        1        1        7
       89       89        1       73        1        1        6
       73       73        1       73        1        1        7
        1        1        1       73        1        1        8
        1       73        1        1        1        1        7
        1       73       89       89        1        1        2
        1       73       73       73        1        1        7
        1       73        1        1        1        1       12
        1        1        1       73        1        1        8
       73       73        1       73        1        1        7
      133      133        1       73        1        1        8
        1        1        1       73        1        1        9
        1      133        1        1        1        1        8
        1      133       89       89        1        1        3
        1        1        1       73        1        1        9
      133      133        1       73        1        1        8
       73       73        1       73        1        1        9
        1        1        1       73        1        1       10
        1       73        1        1        1        1        9
        1       73       89       89        1        1        4
        1       73       73       73        1        1        9
        1       73        1        1        1        1       13
        1        1        1       73        1        1       10
       73       73        1       73        1        1        9
        1      221        1        1        1        1       10
        1      221       89       89        1        1        5
        1      221       73       73        1        1       10
        1      221        1        1        1        1       14
       89       89        1      133        1        1       11
        1        1        1      133        1        1       12
        1       89        1        1        1        1       11
        1       89       73       73        1        1        6
        1       89      133      133        1        1       11
        1       89        1        1        1        1       15
        1        1        1      133        1        1       12
       89       89        1      133        1        1       11
        1       73        1        1        1        1       12
        1       73       73       73        1        1        7
        1       73      133      133        1        1       12
        1       73        1        1        1        1       16
       73       73        1      133        1        1       13
        1        1        1      133        1        1       14
        1       73        1        1        1        1       13
        1       73       73       73        1        1        9
        1       73      133      133        1        1       13
        1       73        1        1        1        1       18
        1        1        1      133        1        1       14
       73       73        1      133        1        1       13
        1      221        1        1        1        1       14
        1      221       73       73        1        1       10
        1      221      133      133        1        1       14
        1      221        1        1        1        1       19
       89       89        1       73        1        1       15
        1        1        1       73        1        1       16
        1       89        1        1        1        1       15
        1       89      133      133        1        1       11
        1       89       73       73        1        1       15
        1       89        1        1        1        1       20
        1        1        1       73        1        1       16
       89       89        1       73        1        1       15
       73       73        1       73        1        1       16
        1        1        1       73        1        1       17
        1       73        1        1        1        1       16
        1       73      133      133        1        1       12
        1       73       73       73        1        1       16
        1       73        1        1        1        1       21
        1        1        1       73        1        1       17
       73       73        1       73        1        1       16
      133      133        1       73        1        1       17
        1        1        1       73        1        1       18
        1      133       73       73        1        1       17
        1      133        1        1        1        1       22
        1        1        1       73        1        1       18
      133      133        1       73        1        1       17
       73       73        1       73        1        1       18
        1        1        1       73        1        1       19
        1       73        1        1        1        1       18
        1       73      133      133        1        1       13
        1       73       73       73        1        1       18
        1       73        1        1        1        1       23
        1        1        1       73        1        1       19
       73       73        1       73        1        1       18
        1      221        1        1        1        1       19
        1      221      133      133        1        1       14
        1      221       73       73        1        1       19
        1      221        1        1        1        1       24
       89       89        1       89        1        1       20
        1        1        1       89        1        1       21
        1       89        1        1        1        1       20
        1       89       73       73        1        1       15
        1        1        1       89        1        1       21
       89       89        1       89        1        1       20
       73       73        1       89        1        1       21
        1        1        1       89        1        1       22
        1       73        1        1        1        1       21
        1       73       73       73        1        1       16
        1        1        1       89        1        1       22
       73       73        1       89        1        1       21
      133      133        1       89        1        1       22
        1        1        1       89        1        1       23
        1      133        1        1        1        1       22
        1      133       73       73        1        1       17
        1        1        1       89        1        1       23
      133      133        1       89        1        1       22
       73       73        1       89        1        1       23
        1        1        1       89        1        1       24
        1       73        1        1        1        1       23
        1       73       73       73        1        1       18
        1        1        1       89        1        1       24
       73       73        1       89        1        1       23
        1      221        1        1        1        1       24
        1      221       73       73        1        1       19
